user_id,proba
user_44331,2.9704765e-05
user_49203,0.0027722467
user_21597,0.00086819724
user_36314,5.906853e-06
user_45092,2.3546892e-05
user_49831,0.00045155204
user_14390,1.5780199e-05
user_78,3.7461596e-05
user_34802,0.00062822993
user_44651,3.467084e-06
user_41196,0.0011543329
user_28058,2.9879979e-05
user_24877,1.7319995e-05
user_36944,6.848841e-05
user_6674,0.00062822993
user_32608,9.220365e-06
user_48485,9.220365e-06
user_56204,0.08874046
user_4019,6.229275e-05
user_43215,2.7770315e-05
user_3717,1.2044275e-05
user_45525,0.0012466166
user_12905,1.8307435e-05
user_31924,1.2044275e-05
user_14644,1.9119825e-06
user_10535,9.220365e-06
user_2834,6.7343e-06
user_49457,8.586138e-06
user_49899,1.407091e-06
user_35952,2.3546892e-05
user_730,1.8787337e-06
user_49513,1.2044275e-05
user_40390,6.167934e-06
user_54134,3.0758376e-05
user_41672,1.1831828e-05
user_23036,0.018340997
user_39280,0.0008323947
user_15180,2.223579e-05
user_18621,3.467084e-06
user_21289,0.0050939764
user_377,0.00010974337
user_412,4.7979393e-06
user_24989,1.8787337e-06
user_10810,3.0758376e-05
user_38177,3.0758376e-05
user_11458,6.2674067e-06
user_33989,1.8161503e-05
user_54590,1.2044275e-05
user_30838,0.0010835103
user_47082,2.402887e-05
user_3712,0.00068190636
user_9774,2.8646718e-06
user_42283,0.00062822993
user_27179,6.0139228e-05
user_34011,7.695199e-06
user_51762,9.274789e-06
user_7397,0.00021694352
user_19949,1.9943525e-05
user_18929,1.8341127e-05
user_41493,5.8370006e-07
user_55890,0.0010835103
user_48449,4.375631e-05
user_52598,6.567839e-06
user_10170,1.2847601e-05
user_47686,6.7343e-06
user_50429,1.3352189e-05
user_2868,3.0359883e-05
user_33474,2.3546892e-05
user_45512,2.4106013e-05
user_30841,0.00062822993
user_9236,9.220365e-06
user_25669,1.5725156e-05
user_51802,4.7979393e-06
user_18444,0.011876875
user_14047,0.0007897847
user_21724,4.494093e-05
user_2854,1.8787337e-06
user_24723,1.2044275e-05
user_46761,9.220365e-06
user_48157,0.00023176243
user_49876,0.06808516
user_31464,5.9993617e-05
user_29811,0.0023653305
user_3567,0.00011277329
user_42383,0.00062822993
user_45074,2.7770315e-05
user_9543,3.467084e-06
user_24246,1.5848094e-05
user_45778,4.6624304e-05
user_1226,0.0010835103
user_47498,3.0758376e-05
user_25781,0.0018436374
user_52237,0.021431126
user_5331,1.2044275e-05
user_36170,9.220365e-06
user_39781,5.5786946e-05
user_7805,1.9290949e-06
user_36539,6.248309e-06
user_37109,3.4091552e-06
user_35715,1.0545822e-05
user_49487,3.0758376e-05
user_22580,7.578694e-06
user_37152,8.4014784e-05
user_18971,9.220365e-06
user_44324,1.8257188e-05
user_39173,3.7088463e-05
user_19490,2.3546892e-05
user_49848,4.2782747e-05
user_30321,3.289927e-05
user_4493,0.00062822993
user_29953,3.2541026e-05
user_32614,4.6650366e-05
user_55844,8.542735e-05
user_8412,3.8076676e-06
user_48057,2.7450465e-06
user_17423,8.7295875e-06
user_49343,0.0020071245
user_13197,7.2769985e-06
user_31193,3.021584e-05
user_34425,1.1870378e-05
user_42263,4.744515e-05
user_25884,1.1173274e-05
user_49985,2.5858549e-06
user_32474,0.002212222
user_38821,1.0221628e-05
user_31776,0.009379861
user_531,2.3035862e-05
user_41547,0.00062822993
user_22404,2.7770315e-05
user_15873,4.0003753e-05
user_48904,3.7420384e-06
user_34706,1.4796145e-05
user_48846,0.0050438014
user_53947,1.8307435e-05
user_53597,1.9743087e-05
user_52507,3.0758376e-05
user_4998,0.005274975
user_55629,2.4108479e-06
user_14266,7.710471e-06
user_36931,2.9339952e-05
user_18908,4.2003094e-06
user_54897,7.1182308e-06
user_7041,8.1447135e-05
user_17805,1.0221628e-05
user_52035,0.00022096401
user_26399,1.7580547e-05
user_52906,2.070179e-05
user_48850,2.5906584e-06
user_41604,2.4108479e-06
user_43979,1.6391534e-05
user_7387,9.220365e-06
user_9778,1.7386952e-05
user_22135,2.4682364e-05
user_21982,0.0019270959
user_52501,2.3492545e-05
user_40249,8.278525e-06
user_35273,9.526303e-06
user_8558,3.467084e-06
user_40672,2.4817016e-05
user_12722,4.6169072e-05
user_21663,9.220365e-06
user_9622,2.9093399e-06
user_56942,6.1568558e-06
user_34837,0.0061466647
user_35020,0.003535389
user_24626,4.7951824e-05
user_31616,0.002585525
user_12565,3.3078104e-06
user_37035,0.0048812623
user_32291,2.6178236e-06
user_50608,7.521818e-06
user_32205,1.8128176e-05
user_3546,2.5590052e-05
user_26889,1.0221628e-05
user_50833,2.0282772e-05
user_18049,0.00062822993
user_17991,0.010439568
user_21701,3.0758376e-05
user_17801,2.1152878e-06
user_38794,0.00023176243
user_44128,6.6447436e-05
user_24057,4.8454614e-05
user_36983,1.1235312e-05
user_17118,1.9157982e-05
user_27557,6.6160565e-06
user_35535,6.0472947e-05
user_1767,2.3220959e-05
user_12549,0.002212222
user_45388,1.7124609e-06
user_55143,0.06412666
user_28666,5.6035304e-05
user_22653,6.4587307e-06
user_45625,2.4981258e-05
user_1134,6.9959074e-06
user_5414,0.00062822993
user_28221,6.9498907e-07
user_30978,3.0758376e-05
user_39021,2.7770315e-05
user_48601,3.0758376e-05
user_42473,6.0472947e-05
user_25502,1.8856654e-05
user_9392,2.3914363e-05
user_15944,1.5515934e-05
user_31390,2.854967e-05
user_30958,8.269931e-06
user_26636,0.0047370414
user_55914,9.220365e-06
user_38652,2.8646718e-06
user_4897,5.907848e-05
user_49595,0.026719995
user_52624,1.0923227e-05
user_2572,1.3852713e-05
user_40979,0.002212222
user_44181,3.124762e-05
user_36215,1.2038257e-05
user_41146,5.5138153e-05
user_36774,3.0758376e-05
user_55686,2.0856054e-05
user_19816,7.578694e-06
user_30071,6.8082645e-06
user_56524,3.950205e-06
user_11930,3.0758376e-05
user_18560,3.5528794e-06
user_18163,9.30885e-06
user_36725,1.7015498e-05
user_53128,4.5219213e-06
user_33214,5.20372e-05
user_28893,3.467084e-06
user_56735,4.7209873e-05
user_31076,1.10037445e-05
user_47449,0.0003100528
user_15547,9.220365e-06
user_37221,4.2782747e-05
user_4176,1.4601206e-05
user_2200,5.7127277e-06
user_34018,6.8082645e-06
user_38326,0.00062822993
user_46515,0.035181236
user_23880,1.8449753e-05
user_43943,3.7088463e-05
user_36879,4.4939778e-05
user_17996,3.7420384e-06
user_43079,0.00013841238
user_18837,0.00062822993
user_47395,0.0003147559
user_48506,1.2044275e-05
user_29239,1.2507315e-06
user_48003,2.402887e-05
user_2845,7.978027e-06
user_53350,0.0005534194
user_3679,2.875744e-06
user_55910,1.7327544e-05
user_34580,4.3149874e-05
user_25062,1.4554397e-05
user_37332,0.00062822993
user_14290,9.66339e-06
user_5608,2.9879979e-05
user_43234,1.2737998e-05
user_39208,9.220365e-06
user_11813,0.00062822993
user_19712,2.8646718e-06
user_8351,3.0758376e-05
user_13365,3.372394e-05
user_36052,0.12627667
user_52193,0.0010835103
user_28116,9.220365e-06
user_49395,0.00091714616
user_7477,0.0004918458
user_51020,5.478751e-05
user_57014,2.1392167e-05
user_18131,1.7015498e-05
user_7705,2.4209823e-05
user_50744,0.00027799545
user_42803,9.220365e-06
user_47244,4.801885e-06
user_42788,0.008214362
user_56867,9.85792e-06
user_44075,1.1342907e-05
user_33862,4.3664386e-06
user_25916,9.138525e-06
user_8205,3.0758376e-05
user_55947,0.0019141356
user_40696,0.00091765
user_15990,2.402887e-05
user_24901,0.0021490802
user_10963,1.122896e-05
user_48950,5.20372e-05
user_9910,1.0221628e-05
user_9888,0.0028288162
user_35147,1.1831828e-05
user_54104,0.00011599917
user_31898,0.0027722467
user_1355,9.28617e-06
user_56348,2.0282772e-05
user_3758,1.4685708e-05
user_48544,1.0221628e-05
user_42532,8.042516e-06
user_54949,7.731903e-05
user_41797,1.2044275e-05
user_34489,0.0013628625
user_31781,1.617843e-05
user_7556,0.00062822993
user_42638,4.7868743e-06
user_37210,1.38970545e-05
user_7928,3.6451762e-05
user_28389,1.1831828e-05
user_40582,2.2194734e-05
user_46043,8.04019e-05
user_32419,3.0758376e-05
user_49838,3.2417534e-05
user_7244,0.0075664488
user_29421,3.0758376e-05
user_47837,1.2044275e-05
user_50705,0.00062822993
user_40722,0.00062822993
user_29994,9.220365e-06
user_42807,0.0010835103
user_40290,0.00042357895
user_47037,1.284171e-05
user_20712,6.0472947e-05
user_35688,0.0007897847
user_47285,0.000100000194
user_55106,9.220365e-06
user_21058,2.3546892e-05
user_53389,9.67239e-06
user_20373,3.0758376e-05
user_52812,6.571984e-05
user_35647,1.7608133e-06
user_24113,2.4541316e-06
user_2414,0.00014677685
user_690,0.00062822993
user_18841,5.43539e-06
user_40371,2.3546892e-05
user_20215,2.3914363e-05
user_5629,8.880426e-05
user_36355,3.078596e-05
user_3257,0.0004781122
user_40965,1.678237e-05
user_52238,2.5059284e-05
user_31092,6.334157e-05
user_12143,4.3453423e-05
user_53313,9.220365e-06
user_12214,0.0014759318
user_51492,2.8735683e-05
user_32866,0.00062822993
user_718,0.002212222
user_32083,0.00033258589
user_3942,0.0010463265
user_491,0.0027614632
user_14901,2.3546892e-05
user_46197,0.00041802987
